machine, port, rdma_mac, eth_mac
10, 2, 34:80:0d:bc:3c:f7, 34:80:0d:bc:3c:fb
10, 3, 34:80:0d:bc:3c:f8, 34:80:0d:bc:3c:fc
10, 4, 14:02:ec:ca:e7:34, 14:02:ec:ca:e7:38
10, 5, 14:02:ec:ca:e7:35, 14:02:ec:ca:e7:39
10, 6, 14:02:ec:ca:e7:36, 14:02:ec:ca:e7:3a
10, 7, 14:02:ec:ca:e7:37, 14:02:ec:ca:e7:3b
11, 0, 34:80:0d:bc:3d:c1, 34:80:0d:bc:3d:c5
11, 1, 34:80:0d:bc:3d:c2, 34:80:0d:bc:3d:c6
11, 2, 34:80:0d:bc:3d:c3, 34:80:0d:bc:3d:c7
11, 3, 34:80:0d:bc:3d:c4, 34:80:0d:bc:3d:c8
11, 4, 14:02:ec:ca:e1:1c, 14:02:ec:ca:e1:20
11, 5, 14:02:ec:ca:e1:1d, 14:02:ec:ca:e1:21
11, 6, 14:02:ec:ca:e1:1e, 14:02:ec:ca:e1:22
11, 7, 14:02:ec:ca:e1:1f, 14:02:ec:ca:e1:23
