0, enp65s0f0, 14:02:ec:ca:e4:dc
0, enp65s0f1, 14:02:ec:ca:e4:dd
0, enp65s0f2, 14:02:ec:ca:e4:de
0, enp65s0f3, 14:02:ec:ca:e4:df
0, enp65s0f4, 14:02:ec:ca:e4:e0
0, enp65s0f5, 14:02:ec:ca:e4:e1
0, enp65s0f6, 14:02:ec:ca:e4:e2
0, enp65s0f7, 14:02:ec:ca:e4:e3
0, enp1s0f0, 14:02:ec:ca:e7:e8
0, enp1s0f1, 14:02:ec:ca:e7:e9
0, enp1s0f2, 14:02:ec:ca:e7:ea
0, enp1s0f3, 14:02:ec:ca:e7:eb
0, enp1s0f4, 14:02:ec:ca:e7:ec
0, enp1s0f5, 14:02:ec:ca:e7:ed
0, enp1s0f6, 14:02:ec:ca:e7:ee
0, enp1s0f7, 14:02:ec:ca:e7:ef
1, enp65s0f0, 14:02:ec:ca:e8:88
1, enp65s0f1, 14:02:ec:ca:e8:89
1, enp65s0f2, 14:02:ec:ca:e8:8a
1, enp65s0f3, 14:02:ec:ca:e8:8b
1, enp65s0f4, 14:02:ec:ca:e8:8c
1, enp65s0f5, 14:02:ec:ca:e8:8d
1, enp65s0f6, 14:02:ec:ca:e8:8e
1, enp65s0f7, 14:02:ec:ca:e8:8f
1, enp1s0f0, 14:02:ec:ca:e4:b4
1, enp1s0f1, 14:02:ec:ca:e4:b5
1, enp1s0f2, 14:02:ec:ca:e4:b6
1, enp1s0f3, 14:02:ec:ca:e4:b7
1, enp1s0f4, 14:02:ec:ca:e4:b8
1, enp1s0f5, 14:02:ec:ca:e4:b9
1, enp1s0f6, 14:02:ec:ca:e4:ba
1, enp1s0f7, 14:02:ec:ca:e4:bb
2, enp65s0f0, 14:02:ec:ca:e7:c0
2, enp65s0f1, 14:02:ec:ca:e7:c1
2, enp65s0f2, 14:02:ec:ca:e7:c2
2, enp65s0f3, 14:02:ec:ca:e7:c3
2, enp65s0f4, 14:02:ec:ca:e7:c4
2, enp65s0f5, 14:02:ec:ca:e7:c5
2, enp65s0f6, 14:02:ec:ca:e7:c6
2, enp65s0f7, 14:02:ec:ca:e7:c7
